Query Length,nDCG@10
10,0.38685280723454163
18,0.6131471927654584
25,0.8175295903539445
13,1.0
16,0.6131471927654584
18,0.23719771276929622
17,1.0
15,0.6131471927654584
8,0.6131471927654584
11,0.0
29,0.9197207891481876
17,0.8503449055347546
22,0.3065735963827292
13,0.20438239758848611
13,0.21840743681816419
16,0.6131471927654584
22,0.6131471927654584
9,0.2640681225725909
22,0.6131471927654584
11,0.6131471927654584
20,1.0
11,0.6131471927654584
20,0.6131471927654584
16,0.18457569677956817
15,1.0
16,0.2640681225725909
27,0.38685280723454163
9,0.8503449055347546
19,0.8315546295836225
18,0.8503449055347546
10,0.6131471927654584
14,0.19342640361727081
10,0.0
12,0.48247555939075504
11,0.430624116386567
19,0.38685280723454163
19,0.6131471927654584
17,0.6131471927654584
14,1.0
15,0.6131471927654584
16,0.8772153153380493
14,0.6131471927654584
25,0.6131471927654584
13,0.5912352048230277
25,0.38685280723454163
17,1.0
27,0.38685280723454163
10,0.0
8,0.0
20,0.0
33,0.0
18,0.8772153153380493
13,0.0
19,0.2640681225725909
13,0.41183384043543503
28,0.6131471927654584
9,0.2640681225725909
8,0.6131471927654584
18,0.17723928678404774
6,0.0
32,0.6131471927654584
19,0.38685280723454163
9,0.0
18,0.38685280723454163
19,0.6131471927654584
15,0.8315546295836225
17,0.6131471927654584
31,0.0
14,0.6131471927654584
27,0.38685280723454163
27,0.7903864795495061
14,0.6131471927654584
18,1.0
19,0.6131471927654584
13,0.6131471927654584
15,1.0
15,0.6131471927654584
12,0.6131471927654584
10,1.0
13,0.6131471927654584
15,0.8503449055347546
27,0.5640920940185894
17,0.6131471927654584
23,0.9197207891481876
28,0.6131471927654584
22,0.3065735963827292
16,0.6131471927654584
10,1.0
13,0.9197207891481876
9,0.6240505200038379
13,0.6131471927654584
12,0.38685280723454163
16,0.6131471927654584
9,0.8772153153380493
22,0.9197207891481876
7,0.6131471927654584
14,0.6131471927654584
12,0.8503449055347546
17,0.3065735963827292
9,0.38685280723454163
16,1.0
14,0.0
16,0.0
18,0.0
27,0.9197207891481876
13,0.38685280723454163
15,0.20438239758848611
13,0.6131471927654584
18,0.6131471927654584
21,0.6131471927654584
18,0.8065735963827293
12,0.0
21,0.38685280723454163
8,0.2640681225725909
9,0.0
12,0.45749452618986164
15,0.6131471927654584
13,0.18457569677956817
11,0.430624116386567
8,0.6131471927654584
9,0.6131471927654584
17,1.0
23,0.6131471927654584
12,1.0
19,1.0
18,1.0
31,0.6131471927654584
13,0.6131471927654584
14,0.6131471927654584
15,0.19342640361727081
20,1.0
12,0.0
16,0.6131471927654584
14,0.8772153153380493
33,0.6131471927654584
13,0.6131471927654584
15,0.0
23,0.6131471927654584
18,0.0
14,0.3065735963827292
9,0.0
11,0.0
9,0.6131471927654584
23,0.6131471927654584
18,0.5706417189553201
10,0.0
18,1.0
24,0.38685280723454163
17,0.6131471927654584
26,0.6131471927654584
10,0.21840743681816419
38,0.6131471927654584
19,1.0
24,0.6131471927654584
6,0.9197207891481876
18,0.6131471927654584
18,0.0
12,0.6131471927654584
17,0.6131471927654584
23,0.6131471927654584
33,1.0
17,0.6131471927654584
14,0.6131471927654584
11,0.6131471927654584
9,0.6131471927654584
33,0.0
8,0.17723928678404774
20,1.0
15,0.6131471927654584
18,0.6131471927654584
17,0.23719771276929622
18,0.6131471927654584
18,0.6934264036172708
18,0.6509209298071326
27,0.6509209298071326
9,0.6131471927654584
20,1.0
22,0.6131471927654584
15,0.0
12,1.0
13,0.0
17,0.38685280723454163
16,0.0
19,0.6131471927654584
21,0.0
38,0.0
25,0.38685280723454163
21,0.6131471927654584
15,0.6131471927654584
17,0.9197207891481876
17,0.38685280723454163
24,0.5714285040141098
14,0.6131471927654584
22,0.6131471927654584
22,0.6131471927654584
16,0.0
16,0.38685280723454163
10,0.0
17,0.0
16,0.0
16,0.6131471927654584
13,0.0
14,0.6131471927654584
24,0.6131471927654584
11,0.0
13,0.6131471927654584
11,0.6131471927654584
13,0.6131471927654584
13,0.5437713091520254
25,0.3065735963827292
16,0.8503449055347546
21,0.8503449055347546
12,0.7977228895450266
22,0.0
10,0.0
15,0.0
15,0.6131471927654584
19,0.6131471927654584
14,0.5912352048230277
17,0.21840743681816419
12,1.0
13,0.0
11,0.21840743681816419
28,0.9197207891481876
15,0.6131471927654584
29,0.8503449055347546
11,0.0
16,0.8315546295836225
19,0.8175295903539445
14,0.5109559939712153
16,0.6131471927654584
15,1.0
31,0.6131471927654584
14,1.0
14,0.6131471927654584
19,0.6240505200038379
26,0.6131471927654584
32,1.0
24,0.6131471927654584
8,0.6934264036172708
24,0.19342640361727081
17,0.6509209298071326
20,0.0
18,0.9197207891481876
8,0.0
19,0.6131471927654584
19,0.5706417189553201
8,0.5706417189553201
12,0.6131471927654584
27,0.6131471927654584
19,1.0
7,1.0
19,0.6131471927654584
11,0.38685280723454163
22,1.0
17,0.7903864795495061
17,0.0
26,0.6131471927654584
18,0.9197207891481876
8,0.8175295903539445
17,0.6131471927654584
19,0.6131471927654584
11,0.0
28,0.9197207891481876
23,0.8772153153380493
9,0.0
27,0.6131471927654584
16,0.6131471927654584
24,0.38685280723454163
14,0.6131471927654584
17,0.6131471927654584
9,0.0
20,0.6131471927654584
17,0.8772153153380493
31,0.8772153153380493
19,0.9197207891481876
8,1.0
18,0.2640681225725909
18,0.9197207891481876
10,0.6131471927654584
14,0.0
19,0.5012658353418871
25,0.6131471927654584
13,1.0
16,0.0
8,0.38685280723454163
15,0.23719771276929622
17,0.17723928678404774
12,0.8772153153380493
16,0.8065735963827293
15,0.38685280723454163
24,0.6131471927654584
14,0.0
25,0.3065735963827292
17,0.6131471927654584
22,0.6131471927654584
22,0.6131471927654584
23,0.9197207891481876
29,0.0
13,0.0
12,0.2640681225725909
16,1.0
15,0.6131471927654584
14,0.6509209298071326
11,1.0
14,0.6131471927654584
9,0.6131471927654584
26,1.0
14,1.0
10,0.6131471927654584
21,0.6131471927654584
11,0.3065735963827292
10,0.17723928678404774
9,0.38685280723454163
30,0.38685280723454163
10,0.6131471927654584
14,0.9197207891481876
15,0.6131471927654584
11,0.6131471927654584
19,0.0
9,0.0
18,0.6131471927654584
15,1.0
15,0.6131471927654584
30,1.0
9,1.0
16,0.38685280723454163
16,0.0
12,0.7903864795495061
14,0.38685280723454163
