Query Length,nDCG@10
15,0.7283790803119549
43,0.9363792118010483
11,0.4149462389808417
24,0.15850703974098102
15,0.717314928796638
11,0.7799082337019199
36,0.7799082337019199
15,0.8734012415309734
17,0.08514311764162098
13,0.9016636008326597
54,0.0
12,0.07100952858881351
10,0.1025583336639718
46,0.0
35,0.6354863697296933
31,0.8649816397829796
46,0.18544586689025272
11,0.5305455297539708
11,0.7349096601140273
14,1.0
55,0.7542686714597936
17,0.9363792118010483
12,0.8701249883466593
12,0.94497705842548
11,0.5326208815196265
25,0.3725907541108227
12,0.7892761547102788
13,0.7997766523300236
25,0.8025251943469333
27,0.6542088509070189
59,0.0
13,0.7058075148678526
52,0.5370079586075637
13,0.2482455922838897
44,0.06362078819895171
11,0.9363792118010483
13,0.3628183216860766
13,0.9363792118010483
12,0.9024054996046694
18,1.0
20,0.7125523635307982
28,0.8685296745807691
13,0.6398555266055842
14,0.9574284411791895
26,0.7381919257729245
12,0.45348554842744876
11,0.636658712740428
18,0.9652843890316114
23,0.5222194647430145
13,0.6923956953020869
