Query Length_original,nDCG@10_og,Query Length_reduced,nDCG@10_exp
661,0.6309297535714575,106,0.6309297535714575
410,0.6309297535714575,118,0.6309297535714575
389,0.2890648263178879,65,0.2890648263178879
409,0.3010299956639812,65,0.0
302,0.2890648263178879,76,0.430676558073393
389,0.5,104,0.3562071871080222
328,0.430676558073393,75,0.5
354,0.0,87,0.0
463,0.0,84,0.0
362,0.0,75,0.0
345,0.0,80,0.3010299956639812
405,0.430676558073393,68,0.5
393,0.3868528072345416,117,0.6309297535714575
358,0.0,55,0.0
363,0.5,123,0.6309297535714575
315,0.0,89,0.0
524,0.3010299956639812,97,0.0
871,0.3010299956639812,106,0.0
494,0.430676558073393,116,0.430676558073393
553,0.6309297535714575,120,0.6309297535714575
757,0.6309297535714575,105,0.6309297535714575
496,0.0,113,0.0
337,0.3562071871080222,55,0.3868528072345416
401,0.6309297535714575,141,0.430676558073393
371,0.430676558073393,81,0.430676558073393
417,0.5,105,0.6309297535714575
314,0.0,83,0.0
321,0.3154648767857287,99,0.6309297535714575
309,0.430676558073393,49,0.0
330,0.5,91,0.6309297535714575
304,0.6309297535714575,59,0.6309297535714575
477,0.6309297535714575,121,0.6309297535714575
304,0.3333333333333333,94,0.3868528072345416
353,0.6309297535714575,93,0.6309297535714575
302,0.3868528072345416,86,0.5
380,0.3333333333333333,59,0.3010299956639812
320,0.5,88,0.3562071871080222
403,0.0,86,0.3562071871080222
300,0.3562071871080222,82,0.3868528072345416
309,0.430676558073393,116,0.5
385,0.3868528072345416,117,0.430676558073393
447,0.6309297535714575,126,0.5
417,0.430676558073393,87,0.5
466,0.3562071871080222,107,0.3562071871080222
304,0.0,95,0.0
643,0.3010299956639812,92,0.3154648767857287
347,0.3154648767857287,65,0.0
310,0.0,71,0.0
307,0.6309297535714575,98,0.6309297535714575
472,0.3562071871080222,81,0.3868528072345416
405,0.6309297535714575,110,0.6309297535714575
307,0.3154648767857287,119,0.430676558073393
353,0.6309297535714575,76,0.3562071871080222
349,0.6309297535714575,88,0.6309297535714575
302,0.3868528072345416,68,0.2890648263178879
326,0.3868528072345416,63,0.430676558073393
349,0.6309297535714575,92,0.6309297535714575
333,0.5,72,0.6309297535714575
560,0.0,94,0.0
553,0.0,90,0.0
505,0.3868528072345416,80,0.5
450,0.6309297535714575,84,0.6309297535714575
524,0.3333333333333333,89,0.0
560,0.3562071871080222,66,0.3868528072345416
301,0.3154648767857287,85,0.430676558073393
337,0.0,76,0.2890648263178879
315,0.5,88,0.0
317,0.5,93,0.5
336,0.2890648263178879,124,0.3562071871080222
309,0.430676558073393,76,0.3562071871080222
342,0.430676558073393,86,0.3868528072345416
396,0.3868528072345416,87,0.3333333333333333
316,0.6309297535714575,59,0.6309297535714575
312,0.6309297535714575,75,0.5
315,0.0,88,0.0
308,0.0,70,0.0
335,0.5,107,0.5
336,0.6309297535714575,88,0.6309297535714575
374,0.2890648263178879,83,0.3154648767857287
313,0.3868528072345416,76,0.3868528072345416
315,0.0,86,0.0
362,0.5,85,0.5
330,0.3562071871080222,86,0.5
303,0.6309297535714575,78,0.6309297535714575
501,0.6309297535714575,87,0.6309297535714575
350,0.3562071871080222,138,0.0
313,0.6309297535714575,95,0.6309297535714575
433,0.0,90,0.0
334,0.3868528072345416,79,0.5
301,0.3333333333333333,73,0.3562071871080222
349,0.430676558073393,90,0.0
560,0.0,76,0.0
553,0.0,92,0.0
505,0.3562071871080222,89,0.3562071871080222
450,0.5,99,0.5
524,0.3154648767857287,127,0.0
560,0.3333333333333333,83,0.3562071871080222
349,0.6309297535714575,103,0.6309297535714575
382,0.430676558073393,56,0.0
332,0.6309297535714575,99,0.6309297535714575
334,0.0,140,0.0
384,0.3333333333333333,98,0.3333333333333333
342,0.430676558073393,77,0.5
332,0.3010299956639812,102,0.0
342,0.0,71,0.430676558073393
792,0.430676558073393,133,0.5
329,0.0,107,0.0
718,0.5,89,0.5
412,0.0,149,0.3868528072345416
438,0.0,86,0.0
353,0.3868528072345416,105,0.3154648767857287
420,0.6309297535714575,104,0.5
348,0.6309297535714575,98,0.6309297535714575
354,0.0,119,0.0
304,0.3333333333333333,83,0.430676558073393
333,0.3562071871080222,94,0.5
337,0.0,86,0.0
323,0.3333333333333333,100,0.2890648263178879
357,0.0,94,0.3562071871080222
397,0.3333333333333333,63,0.3868528072345416
339,0.2890648263178879,60,0.0
313,0.5,58,0.5
324,0.6309297535714575,59,0.6309297535714575
314,0.5,85,0.5
368,0.3562071871080222,56,0.430676558073393
333,0.5,64,0.5
309,0.3868528072345416,82,0.430676558073393
334,0.0,62,0.3010299956639812
384,0.3562071871080222,103,0.3868528072345416
342,0.5,75,0.6309297535714575
332,0.3154648767857287,100,0.3868528072345416
342,0.0,57,0.430676558073393
336,0.6309297535714575,98,0.6309297535714575
352,0.5,121,0.5
322,0.0,80,0.0
314,0.6309297535714575,83,0.6309297535714575
368,0.3868528072345416,53,0.6309297535714575
333,0.6309297535714575,52,0.6309297535714575
338,0.3562071871080222,84,0.3562071871080222
355,0.6309297535714575,95,0.6309297535714575
310,0.5,106,0.3010299956639812
347,0.0,106,0.0
792,0.5,103,0.5
329,0.0,130,0.0
718,0.6309297535714575,128,0.6309297535714575
412,0.0,129,0.3562071871080222
438,0.0,96,0.430676558073393
353,0.430676558073393,93,0.3010299956639812
